symbol,input_window,fold,dataset,MAE_mean,MSE_mean,RMSE_mean,MAPE_mean,bds_statistic,bds_pvalue
ETHUSDT,14,2,train,0.0006806818167314898,1.3441300896896269e-06,0.0011143888117079628,7.795901218042786,,
ETHUSDT,14,2,validation,0.0006454992860061798,1.2756874505530063e-06,0.0010875848774003125,10.133165657915368,,
ETHUSDT,14,2,test,0.0004425289436212391,6.830554666476871e-07,0.0007974231163986935,12.332222223031662,1.258042926412549,0.20837623225230728
ETHUSDT,14,3,train,0.0006581558782648592,1.3109099041977646e-06,0.0010966000103903675,8.476283609048393,,
ETHUSDT,14,3,validation,0.0004527864153774059,6.744081878386968e-07,0.0007850164984284788,13.521569043707755,,
ETHUSDT,14,3,test,0.0005406805446316986,9.705669461946776e-07,0.0009420032110005435,9.357877474570499,0.3453676518631313,0.7298179928206183
ETHUSDT,14,4,train,0.0007114105297516566,1.4259209167984048e-06,0.0011416708835264317,10.174887668121803,,
ETHUSDT,14,4,validation,0.0005862108291417667,1.0070728820776915e-06,0.00096323205388754,9.528102944118482,,
ETHUSDT,14,4,test,0.0006613915238190964,1.3384255192448716e-06,0.0011121683246542384,9.411114735026633,0.3188699996104656,0.749825094549087
ETHUSDT,14,5,train,0.0006695561080211472,1.2670996347572331e-06,0.0010799434140943928,10.636133673222409,,
ETHUSDT,14,5,validation,0.0006256589995559866,1.2306805038352772e-06,0.0010676623477325281,9.37854900284851,,
ETHUSDT,14,5,test,0.0005834293692347747,9.144843615808552e-07,0.0009163495504031632,12.341916095563917,1.2782286605513704,0.20116881333262815
ETHUSDT,21,1,train,0.0008176059209458936,1.7147334390167877e-06,0.0012766616598622513,8.638582045950992,,
ETHUSDT,21,1,validation,0.0007242895396006304,1.288474836116824e-06,0.0011104681755654134,9.606591343944347,,
ETHUSDT,21,1,test,0.0007687630528408209,1.4663580173404468e-06,0.0011867910944104428,12.889381625451723,2.702977750724152,0.0068721346241317075
ETHUSDT,21,2,train,0.0006986927629131763,1.393354032885368e-06,0.0011363174894858487,7.856928719011622,,
ETHUSDT,21,2,validation,0.0006410725917908806,1.2719016282885566e-06,0.0010864574646521398,9.958539923081599,,
ETHUSDT,21,2,test,0.00042730215661402043,6.738096080213992e-07,0.0007909006253159389,11.70909283182072,1.2171261541173748,0.22355622110580453
ETHUSDT,21,3,train,0.0007146110989955373,1.4008595873091436e-06,0.0011428133051574775,8.808515924131056,,
ETHUSDT,21,3,validation,0.00046024830219468634,6.465515030197778e-07,0.0007713752237643531,13.63843526937607,,
ETHUSDT,21,3,test,0.0005503115729120925,9.335765882417656e-07,0.0009283229850926984,9.401446585247607,1.0835817164219914,0.2785503010797886
ETHUSDT,21,4,train,0.0007262848873811199,1.4700757860929423e-06,0.001169997756632955,10.123022888304718,,
ETHUSDT,21,4,validation,0.0005934183012093943,9.930842916148328e-07,0.0009632448878900286,9.690563115379188,,
ETHUSDT,21,4,test,0.0006671038928881512,1.3293228991370498e-06,0.0011150242596880532,9.55174708149949,0.6187391023320044,0.5360882458609701
ETHUSDT,21,5,train,0.0006457202372113978,1.1959886656653526e-06,0.0010474151434036693,10.414081643292217,,
ETHUSDT,21,5,validation,0.0006020807795626963,1.1696174513679495e-06,0.0010413203567094728,9.079607259265407,,
ETHUSDT,21,5,test,0.0005707644251116342,8.741286768310247e-07,0.0008970281504879005,12.110963298214184,0.7027798392798924,0.48219296314615234
ETHUSDT,28,1,train,0.0007782825455949957,1.5945787919869535e-06,0.0012323958762269713,8.012179381264685,,
ETHUSDT,28,1,validation,0.000679007647444442,1.2013810345176547e-06,0.001066511357014561,8.76978478511157,,
ETHUSDT,28,1,test,0.0007067276127217717,1.3446597807975218e-06,0.0011302708742520616,11.338749883709763,2.599087037483367,0.009347206986512506
ETHUSDT,28,2,train,0.0006381587824745353,1.1666316010794055e-06,0.0010450822460874912,7.380686865825585,,
ETHUSDT,28,2,validation,0.000628790796589307,1.1522572656037344e-06,0.0010376544832637836,10.373690845793973,,
ETHUSDT,28,2,test,0.00046085532507207015,6.458094950339795e-07,0.0007774276094562386,13.788691960094473,1.116396597025119,0.26425240951068085
ETHUSDT,28,3,train,0.0006358153113624165,1.18002159056969e-06,0.0010500080178717382,8.103494768006273,,
ETHUSDT,28,3,validation,0.000429324422529571,5.824232748596874e-07,0.0007396537239592247,12.88134870730328,,
ETHUSDT,28,3,test,0.0005214054814501834,8.706058877350869e-07,0.0009002538936535674,8.905618204210501,0.8655998791169849,0.38670962192081715
ETHUSDT,28,4,train,0.0006992182280586629,1.3876233848480892e-06,0.00113336217049285,10.129313917367327,,
ETHUSDT,28,4,validation,0.0005377992572898197,8.829025533872987e-07,0.0009078967799954226,8.821724680613443,,
ETHUSDT,28,4,test,0.0006070684811595816,1.1993824293901106e-06,0.0010589014858781345,8.671710948275253,0.8453927950169043,0.39789156592667085
ETHUSDT,28,5,train,0.0006297351427875349,1.1534645768443814e-06,0.0010328075317802847,9.99091827820813,,
ETHUSDT,28,5,validation,0.0005679576147823535,1.050873170239319e-06,0.0009904152105734475,8.645217442262261,,
ETHUSDT,28,5,test,0.0005413977382587254,7.769179853491434e-07,0.0008501178067038807,11.439459968246565,0.7084884769615981,0.4786419654910544
BNBUSDT,7,1,train,0.0009957364604105082,2.726462962603465e-06,0.001578210781153914,10.139390415580534,,
BNBUSDT,7,1,validation,0.000837514847982055,1.7983235430161031e-06,0.0012861853848804,13.102967357892481,,
BNBUSDT,7,1,test,0.0009365341855623247,1.7459266991692002e-06,0.0012760744353399313,21.43540773865624,1.7266743168652563,0.08422617070718395
BNBUSDT,7,2,train,0.0008009185264342949,2.2602759870567923e-06,0.001427897056217399,8.078836707484083,,
BNBUSDT,7,2,validation,0.000548101328680341,1.152713040394695e-06,0.0010305445372864193,9.545509966423685,,
BNBUSDT,7,2,test,0.00044885360694809506,7.909507424607847e-07,0.0008570259141956555,12.246361995089817,1.4586800143985494,0.14465319932432016
BNBUSDT,7,3,train,0.0007790913047424571,2.07328020859944e-06,0.0013818494813837895,9.391823154090009,,
BNBUSDT,7,3,validation,0.0005373953382048548,8.192858575927168e-07,0.0008717600342945783,15.906055402436012,,
BNBUSDT,7,3,test,0.0005429265717196405,7.653064351275106e-07,0.0008391788209550141,10.272304429684306,2.217449138953996,0.026592414978587196
BNBUSDT,7,4,train,0.0006902081052469327,1.850091080873744e-06,0.0013030776255914826,9.274919295105367,,
BNBUSDT,7,4,validation,0.0004966123340845996,7.47245655095618e-07,0.0008262957520328818,8.61854908024252,,
BNBUSDT,7,4,test,0.00042669307257123414,5.986093719296993e-07,0.0007396192012882651,9.008298491993619,1.220337916441988,0.22233680180033266
BNBUSDT,7,5,train,0.0006057154325951071,1.4168638888447786e-06,0.0011351408746184937,9.072847940011181,,
BNBUSDT,7,5,validation,0.0004230172557712596,5.87834679992762e-07,0.0007319224021472211,9.230987272202185,,
BNBUSDT,7,5,test,0.0003714829503853744,3.654875012510466e-07,0.0005772749591819397,9.998842208858576,0.6214340498480231,0.5343140744383715
BNBUSDT,14,1,train,0.0011390648335143968,2.9114447629243083e-06,0.001648718472296302,12.683541837867624,,
BNBUSDT,14,1,validation,0.0011048908225179874,2.372420293595723e-06,0.0014935916634157152,18.111681038963134,,
BNBUSDT,14,1,test,0.00133955402426581,2.7367137496840195e-06,0.001614971062410972,32.21866062531406,3.5195103366964013,0.00043234418854386653
BNBUSDT,14,2,train,0.0008008343139650086,2.232222465633924e-06,0.0014219733770320583,8.044797617286958,,
BNBUSDT,14,2,validation,0.0005497054727261234,1.112775304018595e-06,0.0010140320284613253,9.683102503151359,,
BNBUSDT,14,2,test,0.0004476011008337369,7.737226859525001e-07,0.0008477644199657116,11.717816780028771,1.211887147950704,0.22555558245747853
BNBUSDT,14,3,train,0.0007903065994778249,2.1697713762713935e-06,0.0014218959586632994,9.209379176151755,,
BNBUSDT,14,3,validation,0.000505186924583033,7.939998539024099e-07,0.0008581742777595081,14.238664797149685,,
BNBUSDT,14,3,test,0.0005245430644826225,7.408085557154285e-07,0.000827304426629017,9.606412015181377,2.472922726874441,0.013401311617765657
BNBUSDT,14,4,train,0.0007423086055803098,2.1105581141643863e-06,0.0014105294631995447,9.606198425422495,,
BNBUSDT,14,4,validation,0.0005105985703631695,7.569388680944801e-07,0.0008369310981677285,8.721191871021128,,
BNBUSDT,14,4,test,0.00043454137411291126,5.951832700964305e-07,0.0007414938623592527,9.142776881245009,1.276928842790436,0.20162737019773302
BNBUSDT,14,5,train,0.0006149863291749681,1.4372349892831711e-06,0.001147083726087112,8.910619694695594,,
BNBUSDT,14,5,validation,0.00041250973327163745,5.583554456648226e-07,0.0007150995917692179,8.77581224949449,,
BNBUSDT,14,5,test,0.0003654750344660898,3.5478194586946605e-07,0.0005685655303882145,9.608638012012388,0.6258973825450513,0.5313822514618349
BNBUSDT,21,1,train,0.0010746601400110582,2.6186174309091413e-06,0.001567906172664391,11.764655164155249,,
BNBUSDT,21,1,validation,0.0010232375511962074,2.092805621196651e-06,0.0014133895120382427,16.4607197986847,,
BNBUSDT,21,1,test,0.0012386006055825794,2.3443433288568803e-06,0.0015156152040834308,30.362847572290413,6.266881702902126,3.683497652896238e-10
BNBUSDT,21,2,train,0.0007836716970179758,2.1354918811788423e-06,0.0013978018446930659,7.906097148567928,,
BNBUSDT,21,2,validation,0.0005380820993403029,1.102224356707851e-06,0.0010110357520831186,9.253496638907247,,
BNBUSDT,21,2,test,0.00041662494031507075,7.572154422910428e-07,0.0008368577321600724,10.109095679752599,0.718633254618146,0.47236691805532516
BNBUSDT,21,3,train,0.0008391159528521978,2.4903285492125013e-06,0.0015427695393018756,9.237432843364884,,
BNBUSDT,21,3,validation,0.0004645060622086093,7.518663453016581e-07,0.000838441730146826,11.876698118692776,,
BNBUSDT,21,3,test,0.0005207954208225805,7.509651549636482e-07,0.0008368844883918811,9.093069493349942,3.667750996982259,0.00024469330386394283
BNBUSDT,21,4,train,0.0007602163544594683,2.120024503107608e-06,0.001414489533112427,9.616815596829747,,
BNBUSDT,21,4,validation,0.0005263362437185641,7.73361603249867e-07,0.0008505255566771399,8.788603510032733,,
BNBUSDT,21,4,test,0.00043372407169021515,5.968608937623082e-07,0.000748262884482752,8.752946859519449,2.0572882363918463,0.03965850823913184
BNBUSDT,21,5,train,0.0006180235695078383,1.4379369465812027e-06,0.0011477825719779526,8.978242685026004,,
BNBUSDT,21,5,validation,0.00041679586367000256,5.524186542074035e-07,0.0007137852859228029,8.821324324991602,,
BNBUSDT,21,5,test,0.00036747400033058746,3.5785316518011604e-07,0.0005740172196030491,9.547996646141613,1.2233340962265693,0.22120353403111792
BNBUSDT,28,1,train,0.0010875783882832754,2.6008312914349246e-06,0.001567655488207741,12.019288461819851,,
BNBUSDT,28,1,validation,0.0010553371576220627,2.124009894915989e-06,0.0014207628676830939,17.089527836342477,,
BNBUSDT,28,1,test,0.0012995461445270196,2.5068640302998914e-06,0.0015488590413435868,31.930160350193862,3.251645687282429,0.0011473895583614345
BNBUSDT,28,2,train,0.0007441684996578327,1.8659745283790785e-06,0.0013186006037363902,7.669350079367356,,
BNBUSDT,28,2,validation,0.0005292497600852185,1.032443788278069e-06,0.000986740498967757,9.219495339519591,,
BNBUSDT,28,2,test,0.00043109518383221013,7.303096717461952e-07,0.0008312526892270369,10.488085263094074,1.1046593747189932,0.26930721295447857
BNBUSDT,28,3,train,0.0007692093451960928,2.0363859208169326e-06,0.00140331473578083,8.682125409263849,,
BNBUSDT,28,3,validation,0.00045642747170119533,7.244359503344295e-07,0.000828307872559292,11.306980278663577,,
BNBUSDT,28,3,test,0.0005113506201882723,7.033238543589116e-07,0.0008170453786198857,8.838732477982044,3.7480786375532165,0.00017819439071660974
BNBUSDT,28,4,train,0.0007486823265426916,2.086399000496155e-06,0.001408341394837609,9.612043973839294,,
BNBUSDT,28,4,validation,0.000510136134466898,7.325321716869946e-07,0.0008301276336538134,8.643139130699641,,
BNBUSDT,28,4,test,0.00042102805753749137,5.458170766843684e-07,0.0007165422559592404,8.951586963150817,2.1558592517054307,0.03109465713150296
BNBUSDT,28,5,train,0.0006080544142119444,1.3726464289380738e-06,0.0011348689169703504,8.978825310148249,,
BNBUSDT,28,5,validation,0.00041483374628900827,5.087069480469695e-07,0.0006880545207413344,9.223625449508116,,
BNBUSDT,28,5,test,0.000373312229861827,3.34126804597788e-07,0.0005575326762742924,10.093689006305208,1.0075702958315056,0.3136607949882674
XRPUSDT,7,1,train,0.0013327598926269532,6.196428873977677e-06,0.002378021628106828,12.009356312467911,,
XRPUSDT,7,1,validation,0.0009726200388282573,2.856805734064537e-06,0.001620440203818752,12.588557659981214,,
XRPUSDT,7,1,test,0.0009172426018924922,1.6855864692299804e-06,0.001247423166198037,16.52513039251688,3.1786405067792494,0.0014796748302087872
XRPUSDT,7,2,train,0.0010318665502230386,4.643133101810324e-06,0.002047599114404529,8.729650370146127,,
XRPUSDT,7,2,validation,0.0006140814930637695,1.1809573555110196e-06,0.001040897282384285,9.115561742843411,,
XRPUSDT,7,2,test,0.0006513172347517097,3.367166673186779e-06,0.0017539724207754255,11.877993869667534,0.8480172025289432,0.39642839046226064
XRPUSDT,7,3,train,0.0009194644790783616,3.3439547847756306e-06,0.0017498802248707478,9.674837748006519,,
XRPUSDT,7,3,validation,0.0007457880013641416,3.3856454780405265e-06,0.0017604426763411295,14.699505471948337,,
XRPUSDT,7,3,test,0.0008220823031832669,2.5060534292377337e-06,0.0015142960893696025,12.598457109227326,1.4921029041982756,0.13567217066666554
XRPUSDT,7,4,train,0.0008979187524684653,3.7187393632815027e-06,0.0018385947471876447,9.561462750545656,,
XRPUSDT,7,4,validation,0.0007920933404692925,2.6217828942499726e-06,0.001541777196191619,10.14770631238819,,
XRPUSDT,7,4,test,0.0007051835010210761,1.9352460368511646e-06,0.0013276721743696394,8.876751565558724,1.2191268374218505,0.2227960552037529
XRPUSDT,7,5,train,0.0007879142357165405,3.249586349368652e-06,0.001722202267365295,9.296773697616617,,
XRPUSDT,7,5,validation,0.0006858027924885553,2.0132955419450314e-06,0.0013531560494272332,9.048251607906694,,
XRPUSDT,7,5,test,0.0005372552532277427,9.400864804508204e-07,0.0009239002349073237,9.97984412868791,1.033253863679014,0.3014851118396288
XRPUSDT,14,1,train,0.0013650651386871097,5.990976213047885e-06,0.00235387209447696,13.01601964647459,,
XRPUSDT,14,1,validation,0.0010502999430189361,2.980651827923847e-06,0.0016632334463526591,13.793936307626591,,
XRPUSDT,14,1,test,0.0010335141992302613,1.9246405020712036e-06,0.0013398226807222462,18.984028061530722,2.8168704749450906,0.00484940782335172
XRPUSDT,14,2,train,0.0010273965363690938,4.486295080896939e-06,0.0020213987428817607,8.76706670849868,,
XRPUSDT,14,2,validation,0.0006241040256531714,1.1660645090176454e-06,0.0010361976524018697,9.23966337860497,,
XRPUSDT,14,2,test,0.0006788214284668395,3.3414530565856903e-06,0.0017521037670308027,12.236591553747532,0.9182707095032938,0.3584771578479943
XRPUSDT,14,3,train,0.0009286216422966589,3.282090096259112e-06,0.0017383372427360632,10.081041769393675,,
XRPUSDT,14,3,validation,0.0008208761687863198,3.4197534486062015e-06,0.0017812581375310952,16.78763098874965,,
XRPUSDT,14,3,test,0.0008777329112048515,2.5544131753637787e-06,0.0015381479823503123,14.118951761420918,1.6559582680754033,0.09773027030152025
XRPUSDT,14,4,train,0.0009119615000975407,3.7507033088306264e-06,0.001857010469073133,9.704847139683778,,
XRPUSDT,14,4,validation,0.0008127667988488031,2.683956809329041e-06,0.0015664169977847719,10.467075324754065,,
