symbol,input_window,fold,n_train,n_val,n_test,X_train_shape,y_train_shape,pred_test_shape,n_outputs,scaler_X_fit_rows,scaler_y_fit_rows,scalers_train_only,n_iter,loss,convergence_warning,convergence_messages,other_warnings,bds_statistic,bds_pvalue,bds_status,bds_warnings,bds_calendar_gaps,elapsed_seconds
XRPUSDT,14,3,22712,7550,7550,"(22712, 14)","(22712, 7)","(7550, 7)",7,22712,22712,True,32,0.028549289514430625,False,,,1.6559582680754033,0.09773027030152025,ok,,0,8.050830299966037
XRPUSDT,14,4,30282,7550,7550,"(30282, 14)","(30282, 7)","(7550, 7)",7,30282,30282,True,39,0.032881198066350516,False,,,1.1355559454677393,0.2561424552550441,ok,,0,10.883905800059438
XRPUSDT,14,5,37852,7550,7550,"(37852, 14)","(37852, 7)","(7550, 7)",7,37852,37852,True,64,0.03130283684754955,False,,,1.4685946053718444,0.14194277894053406,ok,,0,17.35327779990621
XRPUSDT,21,1,7560,7533,7532,"(7560, 21)","(7560, 7)","(7532, 7)",7,7560,7560,True,49,0.029232305397276098,False,,,6.478456318891671,9.266574913088467e-11,ok,,1,6.808262899983674
XRPUSDT,21,2,15120,7532,7532,"(15120, 21)","(15120, 7)","(7532, 7)",7,15120,15120,True,79,0.027635004564558665,False,,,0.8229635963651206,0.4105286953727977,ok,,0,11.798122099833563
XRPUSDT,21,3,22679,7532,7532,"(22679, 21)","(22679, 7)","(7532, 7)",7,22679,22679,True,70,0.026844218137066177,False,,,1.879397323708153,0.0601902614903786,ok,,0,13.540720200166106
XRPUSDT,21,4,30238,7532,7532,"(30238, 21)","(30238, 7)","(7532, 7)",7,30238,30238,True,101,0.030153366603743462,False,,,1.3095626628801493,0.19034382628899893,ok,,0,21.03494939999655
XRPUSDT,21,5,37797,7532,7532,"(37797, 21)","(37797, 7)","(7532, 7)",7,37797,37797,True,71,0.031295387318812574,False,,,2.1031274396327997,0.03545463093110675,ok,,0,18.840866799931973
XRPUSDT,28,1,7549,7515,7514,"(7549, 28)","(7549, 7)","(7514, 7)",7,7549,7549,True,96,0.027012208664773458,False,,,3.520952021534469,0.0004300004118693913,ok,,1,7.989813299849629
XRPUSDT,28,2,15098,7514,7514,"(15098, 28)","(15098, 7)","(7514, 7)",7,15098,15098,True,82,0.026416269600901807,False,,,0.9439296595781521,0.3452055943716972,ok,,0,11.529376399936154
