symbol,input_window,fold,dataset,horizon,MAE,MSE,RMSE,MAPE
BTCUSDT,14,4,test,7,0.0006278573152649641,8.138848430980083e-07,0.0009021556645601735,18.447447541424538
BTCUSDT,14,5,train,1,0.00021273843120864748,1.8887731438829785e-07,0.0004346001776211071,4.037419246716553
BTCUSDT,14,5,train,2,0.00033058516365959363,3.990638496442184e-07,0.000631715006663779,6.106633874606811
BTCUSDT,14,5,train,3,0.00043877473701507035,6.171416142855623e-07,0.0007855836138092254,8.290538997698299
BTCUSDT,14,5,train,4,0.00054164308863891,8.470700182021992e-07,0.0009203640682915643,10.631067885958918
BTCUSDT,14,5,train,5,0.0006267059437258409,1.0875226421513427e-06,0.0010428435367548397,12.041242038004258
BTCUSDT,14,5,train,6,0.0007146796802614855,1.324146179740989e-06,0.0011507155077346393,14.11157953379189
BTCUSDT,14,5,train,7,0.0007961192407177956,1.5598923950026668e-06,0.0012489565224629185,15.977510136436516
BTCUSDT,14,5,validation,1,0.00015247524584017247,8.857165493957336e-08,0.00029760990396754833,3.9997893485961145
BTCUSDT,14,5,validation,2,0.00022692126222484483,1.8616005347947004e-07,0.00043146269071551253,5.7200139151215
BTCUSDT,14,5,validation,3,0.00030768206961514637,2.9168794941486224e-07,0.0005400814285039453,7.938867223412071
BTCUSDT,14,5,validation,4,0.0003899670853161035,4.0726181231720343e-07,0.0006381706764786388,10.48117486426849
BTCUSDT,14,5,validation,5,0.0004456709774437489,5.188888043451435e-07,0.0007203393674825384,11.806619826050493
BTCUSDT,14,5,validation,6,0.0005192149446446397,6.443438229725988e-07,0.0008027102982848786,14.126982271307801
BTCUSDT,14,5,validation,7,0.0005852953426773313,7.640764623369107e-07,0.0008741146734478896,16.324364418934653
BTCUSDT,14,5,test,1,0.00015629923132434904,9.283769113484012e-08,0.00030469278156011525,4.230546635445816
BTCUSDT,14,5,test,2,0.00023641583751939825,1.9862842521346731e-07,0.0004456774901354872,6.107410961729234
BTCUSDT,14,5,test,3,0.00032120937609220787,3.1208973376161086e-07,0.0005586499205778256,8.462309806864406
BTCUSDT,14,5,test,4,0.0004100827434240392,4.422222090412458e-07,0.0006649979015314603,11.329871947140385
BTCUSDT,14,5,test,5,0.0004666032692499648,5.601899563685389e-07,0.0007484583865309673,12.664373896558246
BTCUSDT,14,5,test,6,0.0005421978552390072,6.919172412641778e-07,0.0008318156293699811,15.207972574973056
BTCUSDT,14,5,test,7,0.0006102641358877735,8.157340640560129e-07,0.0009031799732367923,17.481979137654694
BTCUSDT,21,1,train,1,0.0003382040194796413,3.460249115322086e-07,0.0005882388218506226,5.920540560252889
BTCUSDT,21,1,train,2,0.0004720439141708123,6.316376027349878e-07,0.0007947563165744502,7.746822333687945
BTCUSDT,21,1,train,3,0.000607842500344699,9.481665878828576e-07,0.0009737384596917478,9.939621120445386
BTCUSDT,21,1,train,4,0.0006877608679872106,1.1947544230087273e-06,0.0010930482253810796,10.89245570001187
BTCUSDT,21,1,train,5,0.000784636569281352,1.4858326117492467e-06,0.001218947337561901,12.220629013841847
BTCUSDT,21,1,train,6,0.0008717847522295059,1.7896457274285933e-06,0.0013377764115982138,13.232240718583146
BTCUSDT,21,1,train,7,0.0009766238663516166,2.1030692783890397e-06,0.0014501962896067,15.317523436262096
BTCUSDT,21,1,validation,1,0.000272583736248564,2.29179503230085e-07,0.0004787269610436465,4.691415855277774
BTCUSDT,21,1,validation,2,0.00040392746101423145,4.628037159811864e-07,0.0006802967852203819,6.813965181187971
BTCUSDT,21,1,validation,3,0.0005350829516636438,7.360456052453541e-07,0.0008579310026134701,9.094440000145502
BTCUSDT,21,1,validation,4,0.0006226964186963396,9.72082764123097e-07,0.0009859425764835886,10.343923245431585
BTCUSDT,21,1,validation,5,0.0007244994596688512,1.233818232298091e-06,0.0011107737088615714,11.962208881489069
BTCUSDT,21,1,validation,6,0.0008176770737394634,1.4982494729386461e-06,0.0012240300130873614,13.434916007004553
BTCUSDT,21,1,validation,7,0.0009113964738189026,1.7672981326802003e-06,0.0013293976578436567,15.089057137933166
BTCUSDT,21,1,test,1,0.000400141158849896,3.418156391722957e-07,0.0005846500142583558,13.575505059709595
BTCUSDT,21,1,test,2,0.0005212668000584343,5.78290633479965e-07,0.0007604542283924556,16.027506060402427
BTCUSDT,21,1,test,3,0.0006592418869235897,8.76255810145845e-07,0.0009360853647749467,19.542365787784824
BTCUSDT,21,1,test,4,0.0007407315316353151,1.119253694169804e-06,0.0010579478693063303,21.43832137062615
BTCUSDT,21,1,test,5,0.0008342250812255533,1.3781005126184754e-06,0.0011739252585315964,22.88636010501145
BTCUSDT,21,1,test,6,0.0009023210864566808,1.5992340281652939e-06,0.00126460825086874,23.960640180952897
BTCUSDT,21,1,test,7,0.0010544272014113036,1.9989980409782146e-06,0.0014138592719850922,29.478300184099016
BTCUSDT,21,2,train,1,0.0002597727875716544,2.6047124241022357e-07,0.000510363833368141,3.717900148903646
BTCUSDT,21,2,train,2,0.00038014525581922054,5.029562636739838e-07,0.0007091940945002178,5.497006858652739
BTCUSDT,21,2,train,3,0.0005078577822251319,7.837646126813311e-07,0.0008853048134294375,7.272192350838407
BTCUSDT,21,2,train,4,0.0006167685142304907,1.0700130630239896e-06,0.0010344143575105624,8.824285383702204
BTCUSDT,21,2,train,5,0.0007030251004447692,1.3326531029949388e-06,0.001154405952425289,10.24707933026927
