symbol,input_window,fold,n_train,n_val,n_test,X_train_shape,y_train_shape,pred_test_shape,n_outputs,scaler_X_fit_rows,scaler_y_fit_rows,scalers_train_only,n_iter,loss,convergence_warning,convergence_messages,other_warnings,bds_statistic,bds_pvalue,bds_status,bds_warnings,bds_calendar_gaps,elapsed_seconds
XRPUSDT,21,3,22679,7532,7532,"(22679, 21)","(22679, 7)","(7532, 7)",7,22679,22679,True,70,0.02684421813706624,False,,,1.879397323708153,0.0601902614903786,ok,,0,12.603171600028872
XRPUSDT,21,4,30238,7532,7532,"(30238, 21)","(30238, 7)","(7532, 7)",7,30238,30238,True,101,0.030153366603743605,False,,,1.3095626628801493,0.19034382628899893,ok,,0,20.19577799993567
XRPUSDT,21,5,37797,7532,7532,"(37797, 21)","(37797, 7)","(7532, 7)",7,37797,37797,True,71,0.03129538731881273,False,,,2.1031274396327997,0.03545463093110675,ok,,0,25.930396700045094
XRPUSDT,28,1,7549,7515,7514,"(7549, 28)","(7549, 7)","(7514, 7)",7,7549,7549,True,96,0.027012208664768646,False,,,3.520952021534469,0.0004300004118693913,ok,,1,9.424656999995932
XRPUSDT,28,2,15098,7514,7514,"(15098, 28)","(15098, 7)","(7514, 7)",7,15098,15098,True,82,0.02641626960090185,False,,,0.9439296595781521,0.3452055943716972,ok,,0,12.051298400154337
XRPUSDT,28,3,22646,7514,7514,"(22646, 28)","(22646, 7)","(7514, 7)",7,22646,22646,True,98,0.025468212105516155,False,,,1.7422503488671954,0.08146464731880297,ok,overflow encountered in scalar subtract,0,23.08661730005406
XRPUSDT,28,4,30194,7514,7514,"(30194, 28)","(30194, 7)","(7514, 7)",7,30194,30194,True,86,0.02918974684838314,False,,,1.166255259318443,0.243511256525331,ok,,0,32.60145410010591
XRPUSDT,28,5,37742,7514,7514,"(37742, 28)","(37742, 7)","(7514, 7)",7,37742,37742,True,119,0.02847234813898178,False,,,2.5048895586370223,0.01224896342342499,ok,,0,31.529754500137642
SOLUSDT,7,1,7582,7569,7568,"(7582, 7)","(7582, 7)","(7568, 7)",7,7582,7582,True,48,0.03821491951887318,False,,,1.6400844156784122,0.10098761627034794,ok,,1,10.000868600094691
SOLUSDT,7,2,15164,7568,7568,"(15164, 7)","(15164, 7)","(7568, 7)",7,15164,15164,True,31,0.03132256938024355,False,,,0.9400396616580392,0.3471972169029319,ok,,0,15.96667160000652
SOLUSDT,7,3,22745,7568,7568,"(22745, 7)","(22745, 7)","(7568, 7)",7,22745,22745,True,52,0.02965926947281244,False,,,0.6627404046583883,0.507496827612228,ok,,0,16.15109769999981
SOLUSDT,7,4,30326,7568,7568,"(30326, 7)","(30326, 7)","(7568, 7)",7,30326,30326,True,28,0.029632248482406805,False,,,1.4367679222272378,0.15078394793614316,ok,,0,12.44431099994108
SOLUSDT,7,5,37907,7568,7568,"(37907, 7)","(37907, 7)","(7568, 7)",7,37907,37907,True,46,0.027715932826301415,False,,,0.8568094990167202,0.3915501751150088,ok,,0,16.945594400167465
SOLUSDT,14,1,7571,7551,7550,"(7571, 14)","(7571, 7)","(7550, 7)",7,7571,7571,True,82,0.0380693425767312,False,,,2.058052301432114,0.039585113065800974,ok,,1,9.50869180005975
SOLUSDT,14,2,15142,7550,7550,"(15142, 14)","(15142, 7)","(7550, 7)",7,15142,15142,True,66,0.030260997210513757,False,,,0.7284659768750082,0.46632838848277447,ok,,0,11.844168599927798
SOLUSDT,14,3,22712,7550,7550,"(22712, 14)","(22712, 7)","(7550, 7)",7,22712,22712,True,63,0.03014245986514662,False,,,0.8308093164700243,0.4060813587562815,ok,,0,17.136051199864596
SOLUSDT,14,4,30282,7550,7550,"(30282, 14)","(30282, 7)","(7550, 7)",7,30282,30282,True,56,0.027867623379965553,False,,,0.9382231459429291,0.3481297458908388,ok,,0,15.568658099975437
SOLUSDT,14,5,37852,7550,7550,"(37852, 14)","(37852, 7)","(7550, 7)",7,37852,37852,True,45,0.02780943117331002,False,,,0.7935465196311505,0.42745947716401256,ok,,0,15.127740500029176
SOLUSDT,21,1,7560,7533,7532,"(7560, 21)","(7560, 7)","(7532, 7)",7,7560,7560,True,101,0.03607348321062271,False,,,2.0440968045224315,0.0409439847804624,ok,,1,9.16744409990497
SOLUSDT,21,2,15120,7532,7532,"(15120, 21)","(15120, 7)","(7532, 7)",7,15120,15120,True,97,0.028600389521871123,False,,,0.7198660512312017,0.47160747212996634,ok,,0,11.352757799904794
SOLUSDT,21,3,22679,7532,7532,"(22679, 21)","(22679, 7)","(7532, 7)",7,22679,22679,True,82,0.0291906989459882,False,,,1.1686657437246266,0.24253832886865467,ok,,0,12.528689000057057
SOLUSDT,21,4,30238,7532,7532,"(30238, 21)","(30238, 7)","(7532, 7)",7,30238,30238,True,45,0.03029540193292071,False,,,1.8490383008116233,0.06445228240837123,ok,,0,11.712061599828303
SOLUSDT,21,5,37797,7532,7532,"(37797, 21)","(37797, 7)","(7532, 7)",7,37797,37797,True,68,0.027008240283729678,False,,,0.8893622533792208,0.3738084243648596,ok,,0,27.188161799916998
SOLUSDT,28,1,7549,7515,7514,"(7549, 28)","(7549, 7)","(7514, 7)",7,7549,7549,True,102,0.03353581439258164,False,,,3.19928372428138,0.0013776951216184193,ok,,1,9.832512900000438
SOLUSDT,28,2,15098,7514,7514,"(15098, 28)","(15098, 7)","(7514, 7)",7,15098,15098,True,110,0.02708437819530856,False,,,1.017759529749139,0.30879224908800884,ok,,0,12.470982700120658
SOLUSDT,28,3,22646,7514,7514,"(22646, 28)","(22646, 7)","(7514, 7)",7,22646,22646,True,56,0.028354884701651865,False,,,2.2921602341266385,0.021896398675446058,ok,,0,11.61891179997474
SOLUSDT,28,4,30194,7514,7514,"(30194, 28)","(30194, 7)","(7514, 7)",7,30194,30194,True,58,0.028765875407986904,False,,,2.0243958720305453,0.04292943615830715,ok,,0,13.43056150013581
SOLUSDT,28,5,37742,7514,7514,"(37742, 28)","(37742, 7)","(7514, 7)",7,37742,37742,True,67,0.027376292605346724,False,,,1.0272265999659003,0.3043137755174449,ok,,0,17.265161500079557
