symbol,input_window,fold,horizon,MAE,MSE,RMSE,MAPE,R2
BNBUSDT,7,1,7,0.0007978719075015337,2.165549794373898e-06,0.0014715807128302199,13.646325708968224,0.8332561085839985
BNBUSDT,7,2,1,0.00012603346930684144,1.678409715344286e-07,0.00040968398984391445,3.0752809147290194,0.9763383191500209
BNBUSDT,7,2,2,0.00022318410766306162,3.586654909073292e-07,0.000598886876552934,5.410701460479102,0.9494531699579265
BNBUSDT,7,2,3,0.00031131971995940677,5.686669521582904e-07,0.0007541000942569165,7.4993081662598895,0.9198817502583484
BNBUSDT,7,2,4,0.00039235326816152073,7.870024138186256e-07,0.000887131565112315,9.417581360225089,0.8891541782629387
BNBUSDT,7,2,5,0.0004695727196467021,1.0169218844254593e-06,0.0010084254481246787,11.237810755085938,0.8568219667817207
BNBUSDT,7,2,6,0.000543637405854652,1.2661835739768237e-06,0.0011252482277154777,12.988708416257863,0.8217921852464873
BNBUSDT,7,2,7,0.0006142984017214937,1.5200947802567244e-06,0.0012329212384644547,14.672848550958259,0.7861299484659968
BNBUSDT,7,3,1,0.00016198103570553836,1.3975999982772515e-07,0.0003738448873901115,2.8462444953707533,0.9860066906123854
BNBUSDT,7,3,2,0.00028487794246043506,3.254745124706278e-07,0.0005705037357201333,4.982871514700739,0.9674080693451608
BNBUSDT,7,3,3,0.000392023854538567,5.344703895550119e-07,0.0007310748180282315,6.841120484922319,0.9464725313427066
BNBUSDT,7,3,4,0.0004895053906377685,7.584847147923166e-07,0.0008709102794159204,8.535184608068938,0.9240273243914375
BNBUSDT,7,3,5,0.0005796175676625601,9.95481406381603e-07,0.000997738145197227,10.104204748029002,0.9002764644166372
BNBUSDT,7,3,6,0.000664375456622555,1.241454925534796e-06,0.0011142059619005796,11.576244721005263,0.8756330675813985
BNBUSDT,7,3,7,0.0007446557060024452,1.5085018944273081e-06,0.0012282108509646494,12.977669940095732,0.8488784026957418
BNBUSDT,7,4,1,0.0001376148772437452,1.1953675431037685e-07,0.0003457408774073104,2.827711999256519,0.9858286286795159
BNBUSDT,7,4,2,0.00023863947257942944,2.65173256269092e-07,0.0005149497609175986,4.878592501229851,0.9685639150356001
BNBUSDT,7,4,3,0.0003288262765662967,4.2875121968366115e-07,0.0006547909740395488,6.702300239941851,0.9491730222879516
BNBUSDT,7,4,4,0.00041164269544099444,6.031954042848289e-07,0.0007766565549101024,8.357570140120563,0.9284936268132209
BNBUSDT,7,4,5,0.0004900349741924067,7.975315684886524e-07,0.0008930462297600569,9.9148792959702,0.9054556458788305
BNBUSDT,7,4,6,0.0005645491298605322,1.0059073005323092e-06,0.001002949301077731,11.393093695005623,0.8807532653675969
BNBUSDT,7,4,7,0.0006330594341931384,1.2236633438556214e-06,0.0011061931765544485,12.750624976774299,0.8549393001070955
BNBUSDT,7,5,1,0.00011461565417338368,7.054017633519784e-08,0.0002655940065874941,2.885620779142671,0.9818508523050843
BNBUSDT,7,5,2,0.00020131262438742098,1.5860052841550774e-07,0.0003982468184625054,5.0476240297298265,0.9591937896929494
BNBUSDT,7,5,3,0.0002778556691669829,2.555101284132506e-07,0.000505480096950662,6.952260671102701,0.9342597984777623
BNBUSDT,7,5,4,0.00034737986277448226,3.6214122045485777e-07,0.0006017817049851697,8.692842025192467,0.9068246483937683
BNBUSDT,7,5,5,0.00041153159371454153,4.7365665589128153e-07,0.0006882271833423041,10.301882222968004,0.878132719450722
BNBUSDT,7,5,6,0.0004715438841440718,5.891461132332606e-07,0.0007675585405903973,11.804879965566442,0.8484206526237645
BNBUSDT,7,5,7,0.0005261641934596391,7.039568065562822e-07,0.0008390213385583719,13.199938706176159,0.8188821446908928
XRPUSDT,28,1,1,0.00019824201196453906,2.390792325493507e-07,0.0004889572911301668,2.8720549750090387,0.9827152442823889
XRPUSDT,28,1,2,0.0003488583728597853,5.308507123049193e-07,0.0007285950262696825,5.017797391623541,0.9616304826358468
XRPUSDT,28,1,3,0.00047681826367192246,8.416529147183503e-07,0.0009174164347330771,6.851689268971228,0.9391826853310763
XRPUSDT,28,1,4,0.0005959149064370078,1.172448408477914e-06,0.0010827965683718776,8.565655014911021,0.9153024275326884
