symbol,input_window,fold,horizon,R2
BNBUSDT,28,3,2,0.9611784995860722
BNBUSDT,28,3,3,0.943897582029302
BNBUSDT,28,3,4,0.9278319982485075
BNBUSDT,28,3,5,0.9154254461772482
BNBUSDT,28,3,6,0.9008060627275316
BNBUSDT,28,3,7,0.8862154000133946
BNBUSDT,28,4,1,0.9792220095089029
BNBUSDT,28,4,2,0.9664147784877573
BNBUSDT,28,4,3,0.9494000503358586
BNBUSDT,28,4,4,0.9349905356440138
BNBUSDT,28,4,5,0.9223111063335702
BNBUSDT,28,4,6,0.9075583614268014
BNBUSDT,28,4,7,0.8895185714152678
BNBUSDT,28,5,1,0.977551556035084
BNBUSDT,28,5,2,0.9575720504935605
BNBUSDT,28,5,3,0.9341289753355602
BNBUSDT,28,5,4,0.9112064415583331
BNBUSDT,28,5,5,0.8912736793670665
BNBUSDT,28,5,6,0.8752975650016591
BNBUSDT,28,5,7,0.8526728272559896
XRPUSDT,7,1,1,0.9656460493959617
XRPUSDT,7,1,2,0.9434960371382899
XRPUSDT,7,1,3,0.8948315162916557
XRPUSDT,7,1,4,0.8947379668246422
XRPUSDT,7,1,5,0.8581207037546832
XRPUSDT,7,1,6,0.8182321600665171
XRPUSDT,7,1,7,0.758585858741342
XRPUSDT,7,2,1,0.9667158191829988
XRPUSDT,7,2,2,0.9327576716045783
XRPUSDT,7,2,3,0.8916957735371338
XRPUSDT,7,2,4,0.8488713971463724
XRPUSDT,7,2,5,0.8057181402931565
XRPUSDT,7,2,6,0.7638039519731616
XRPUSDT,7,2,7,0.7235646057891981
XRPUSDT,7,3,1,0.9846764455338519
XRPUSDT,7,3,2,0.9678430226369759
XRPUSDT,7,3,3,0.9501508727808944
XRPUSDT,7,3,4,0.9318870479321256
XRPUSDT,7,3,5,0.9125960910554092
XRPUSDT,7,3,6,0.8917642499712689
XRPUSDT,7,3,7,0.8723824376464625
XRPUSDT,7,4,1,0.9818886987763078
XRPUSDT,7,4,2,0.9606045993382462
XRPUSDT,7,4,3,0.9377470410585518
XRPUSDT,7,4,4,0.9152395523371664
XRPUSDT,7,4,5,0.8896989407809864
XRPUSDT,7,4,6,0.8638766963475252
XRPUSDT,7,4,7,0.8370343840283381
XRPUSDT,7,5,1,0.981633996663003
XRPUSDT,7,5,2,0.9610711669904639
XRPUSDT,7,5,3,0.9398360897561683
XRPUSDT,7,5,4,0.9117591267162393
XRPUSDT,7,5,5,0.8854695976624226
XRPUSDT,7,5,6,0.8620888784099705
XRPUSDT,7,5,7,0.8322370107918612
XRPUSDT,14,1,1,0.9640343648964662
XRPUSDT,14,1,2,0.9056029631309914
XRPUSDT,14,1,3,0.9028487349823132
XRPUSDT,14,1,4,0.8690513710839567
XRPUSDT,14,1,5,0.8352885915067898
XRPUSDT,14,1,6,0.7889213178580542
XRPUSDT,14,1,7,0.747977877705845
XRPUSDT,14,2,1,0.9660732324210746
XRPUSDT,14,2,2,0.9295528375112824
XRPUSDT,14,2,3,0.8900234488460688
XRPUSDT,14,2,4,0.8479953496952973
XRPUSDT,14,2,5,0.808505424444359
XRPUSDT,14,2,6,0.7684918276426539
XRPUSDT,14,2,7,0.7323026866656488
XRPUSDT,14,3,1,0.9811180901433079
XRPUSDT,14,3,2,0.9652096509382551
XRPUSDT,14,3,3,0.9487820694213027
XRPUSDT,14,3,4,0.9298220885664533
XRPUSDT,14,3,5,0.9119485790363315
XRPUSDT,14,3,6,0.8933615436978853
XRPUSDT,14,3,7,0.8725335683951504
XRPUSDT,14,4,1,0.9796015523731482
XRPUSDT,14,4,2,0.9578145897165914
XRPUSDT,14,4,3,0.9369916662045801
XRPUSDT,14,4,4,0.9150494811558277
XRPUSDT,14,4,5,0.8881778458026546
XRPUSDT,14,4,6,0.8661954109934353
XRPUSDT,14,4,7,0.8397103235377976
XRPUSDT,14,5,1,0.9777543533276716
XRPUSDT,14,5,2,0.9604115750225792
XRPUSDT,14,5,3,0.93883563752962
XRPUSDT,14,5,4,0.9136786343134582
XRPUSDT,14,5,5,0.8861966878157546
XRPUSDT,14,5,6,0.8649935208760955
XRPUSDT,14,5,7,0.8403924891764873
XRPUSDT,21,1,1,0.9234445385255567
XRPUSDT,21,1,2,0.9180617741086676
XRPUSDT,21,1,3,0.8932659524197553
XRPUSDT,21,1,4,0.8126750025972493
XRPUSDT,21,1,5,0.8091373308848565
XRPUSDT,21,1,6,0.7794976776675722
XRPUSDT,21,1,7,0.7432338407953805
XRPUSDT,21,2,1,0.9660951471225965
XRPUSDT,21,2,2,0.9317877311166595
XRPUSDT,21,2,3,0.8937757979641081
XRPUSDT,21,2,4,0.8560736404473966
XRPUSDT,21,2,5,0.8184483631791474
XRPUSDT,21,2,6,0.7826018392983249
XRPUSDT,21,2,7,0.7491097525571022
XRPUSDT,21,3,1,0.9830390930488565
XRPUSDT,21,3,2,0.9653870090488045
XRPUSDT,21,3,3,0.9460813321294711
XRPUSDT,21,3,4,0.9300645167912487
XRPUSDT,21,3,5,0.9134424089765533
XRPUSDT,21,3,6,0.8975917706431669
XRPUSDT,21,3,7,0.8820416874039156
XRPUSDT,21,4,1,0.9812309261537662
XRPUSDT,21,4,2,0.9597641809380416
XRPUSDT,21,4,3,0.9391241912688741
XRPUSDT,21,4,4,0.9178940655532952
XRPUSDT,21,4,5,0.8951879737313877
XRPUSDT,21,4,6,0.8728672611877986
XRPUSDT,21,4,7,0.8519895264493895
XRPUSDT,21,5,1,0.9766956093978324
XRPUSDT,21,5,2,0.9587439663497407
XRPUSDT,21,5,3,0.9402030129383935
XRPUSDT,21,5,4,0.9166940304809159
XRPUSDT,21,5,5,0.8927165479311036
XRPUSDT,21,5,6,0.8708496042588016
XRPUSDT,21,5,7,0.8498700159520292
XRPUSDT,28,1,1,0.9444075700939465
XRPUSDT,28,1,2,0.8703463471858537
XRPUSDT,28,1,3,0.8887798194430476
XRPUSDT,28,1,4,0.8049236785864744
XRPUSDT,28,1,5,0.8123013725018717
XRPUSDT,28,1,6,0.8072644210796159
XRPUSDT,28,1,7,0.736001028977588
XRPUSDT,28,2,1,0.965929323722678
XRPUSDT,28,2,2,0.933606052048471
XRPUSDT,28,2,3,0.8952438584457191
XRPUSDT,28,2,4,0.8667353411772523
XRPUSDT,28,2,5,0.8347319485831661
XRPUSDT,28,2,6,0.8076688202503974
XRPUSDT,28,2,7,0.7722526232634263
XRPUSDT,28,3,1,0.9843502885245596
XRPUSDT,28,3,2,0.9685363800674192
XRPUSDT,28,3,3,0.9508012294717558
XRPUSDT,28,3,4,0.9358164877273543
XRPUSDT,28,3,5,0.9238919247035438
XRPUSDT,28,3,6,0.9096565689526604
XRPUSDT,28,3,7,0.8942924235952682
XRPUSDT,28,4,1,0.982126763123435
XRPUSDT,28,4,2,0.9616476102862637
XRPUSDT,28,4,3,0.9432473670936479
XRPUSDT,28,4,4,0.9234929946497077
